Longitude,Latitude,Housing Median Age,Total Rooms,Total Bedrooms,Population,Households,Median Income,Median House Value,Ocean Proximity
-70.8834,42.2695,25,11618,3557,24982,9100,0.8352,121294.39,NEAR OCEAN
-70.8205,42.2596,24,3867,1423,12129,162,14.6134,430556.49,NEAR OCEAN
-71.0845,42.3823,8,34012,14338,8117,3177,7.408,335260.01,INLAND
-71.16,42.2993,20,23938,11897,826,70,3.2628,310478.92,NEAR BAY
-70.8447,42.2804,52,16784,5391,33099,2926,11.5477,181063.81,INLAND
-71.0032,42.2872,7,24709,11079,335,104,5.5902,255367.99,RIVER
-70.8643,42.3336,12,36082,17810,1208,177,11.3495,413591.49,ISLAND
-70.8397,42.3491,23,690,231,20742,8106,4.4164,184986.34,RIVER
-70.8613,42.3688,10,24056,8057,24716,6654,0.8426,321539.4,RIVER
-70.9995,42.2647,11,7075,3120,11695,652,10.0216,195843.63,NEAR BAY
-70.8325,42.2304,32,19552,8927,1141,519,9.6236,180113.56,RIVER
-70.8148,42.2773,8,1908,627,1909,847,12.7868,338200.95,NEAR OCEAN
-70.8873,42.3569,31,2867,1357,30024,13569,10.2741,423471.8,INLAND
-70.9129,42.3737,51,32433,13979,19288,7534,6.7408,59957.72,INLAND
-71.1207,42.2435,37,17987,8213,21297,1296,3.0886,178103.0,NEAR OCEAN
-70.9757,42.2864,40,9237,3495,15503,4943,10.4931,133496.42,INLAND
-71.0313,42.3515,31,36227,12658,13291,2568,11.8103,101195.99,ISLAND
-70.9492,42.3891,2,15691,7522,6187,656,13.9901,175674.06,RIVER
-71.0776,42.2848,5,34548,16025,6235,1726,9.3315,100775.17,INLAND
-70.8858,42.2948,9,34868,12908,18374,3473,8.2937,206065.51,INLAND
-71.0093,42.3383,46,36241,14604,30943,14825,0.6027,219782.34,ISLAND
-70.8119,42.396,2,11772,4263,22067,8472,6.9467,482659.57,NEAR BAY
-71.1091,42.3719,6,6521,1973,6066,62,13.357,150677.16,NEAR OCEAN
-70.9641,42.339,16,29842,13849,31843,8938,1.1618,405192.84,ISLAND
-71.055,42.2514,50,28267,11204,30235,15047,9.6777,23956.56,NEAR BAY
-71.1618,42.2308,3,39316,14826,20356,5479,8.1792,137929.84,ISLAND
-70.8889,42.2377,38,20820,10236,34614,13506,0.9792,135560.89,INLAND
-70.9187,42.2918,48,12094,4003,15875,5501,1.6294,112385.97,NEAR BAY
-70.9569,42.3127,42,22125,7873,32955,15453,12.33,154861.1,RIVER
-70.9626,42.2907,33,37980,12682,21286,8696,0.8744,420542.11,ISLAND
-70.8473,42.2283,28,25432,11227,17967,3275,4.583,458797.5,INLAND
-71.0238,42.3707,39,11580,4484,14227,1211,9.3882,382731.09,ISLAND
-70.8702,42.2696,11,20745,8592,6421,1872,3.5253,296008.53,RIVER
-70.9208,42.3908,52,6631,2946,3553,1282,2.9972,441774.31,NEAR BAY
-70.9263,42.3139,1,34707,10971,13567,2860,14.794,228683.17,INLAND
-71.1725,42.35,20,17185,5425,8881,2694,6.6262,80482.17,RIVER
-71.0828,42.2354,32,18188,8751,12302,2212,6.4029,428381.12,RIVER
-71.1245,42.3022,52,1037,339,33420,10703,3.8834,35122.88,INLAND
-70.9747,42.3532,19,38895,13944,27586,12265,11.809,450651.75,NEAR OCEAN
-71.1722,42.2564,43,26748,9234,26778,12067,9.1776,374968.88,NEAR OCEAN
-71.0486,42.383,3,10487,5130,21465,2125,14.8096,262509.77,INLAND
-71.1595,42.3301,44,34261,17063,11385,852,11.7772,76222.68,INLAND
-71.0158,42.3118,11,38726,17046,6034,2747,5.786,289538.12,NEAR OCEAN
-70.8646,42.2719,41,29832,10684,30205,6401,2.8853,250544.12,NEAR OCEAN
-71.1015,42.3224,16,14945,4799,28831,9082,2.9174,462987.06,ISLAND
-70.8192,42.2469,35,32935,15077,13596,3160,8.3805,47044.85,ISLAND
-70.8227,42.3444,51,4371,1707,34490,988,6.7947,53159.03,RIVER
-70.9103,42.3957,14,1073,342,19994,6863,1.4418,498838.47,ISLAND
-71.1541,42.232,20,35937,15698,18948,9214,2.3245,333576.6,ISLAND
-71.111,42.3586,5,14,5,12634,3450,7.9006,484520.86,RIVER
-70.9615,42.3787,3,10032,3065,292,133,6.9045,46424.07,INLAND
-70.8326,42.2637,38,27848,9512,32691,9472,13.8833,204314.94,INLAND
-70.9726,42.3001,41,382,182,6783,842,1.648,209354.28,ISLAND
-71.1873,42.3555,40,6109,2735,7705,37,2.94,338777.76,RIVER
-71.1552,42.2979,47,23394,9976,4232,1453,13.1565,304773.67,INLAND
-70.8122,42.2448,25,18955,6656,7472,1182,9.7045,248587.75,RIVER
-71.1553,42.3544,24,26076,11262,34166,4205,6.5742,481706.49,NEAR BAY
-71.1356,42.3897,41,10878,3873,33163,13822,3.7727,40128.11,NEAR OCEAN
-70.8986,42.3056,45,36285,15676,5513,396,3.2828,310026.2,ISLAND
-70.9991,42.3697,25,7274,2503,2960,634,3.3515,305501.39,NEAR OCEAN
-70.9832,42.3918,31,9030,4453,4644,2032,11.5799,304484.26,NEAR OCEAN
-71.1554,42.3309,28,18952,8218,26643,554,1.4543,66046.81,ISLAND
-70.9725,42.3958,50,23227,7447,18436,1918,6.9161,259991.97,NEAR OCEAN
-70.9226,42.3232,35,20903,8070,18476,8139,1.2856,282768.6,INLAND
-70.9125,42.3337,47,17939,8824,29550,6519,5.1962,342345.41,INLAND
-70.9439,42.3913,44,32432,13334,34402,13395,8.9023,151177.09,INLAND
-71.034,42.3815,14,36072,12833,32633,12067,7.7861,185969.82,RIVER
-71.1261,42.2334,6,38078,15046,28075,1815,1.2103,26962.75,NEAR BAY
-70.8317,42.2619,51,31003,14880,3010,662,3.2631,155077.86,NEAR BAY
-71.0493,42.3329,16,18839,5981,32929,11488,10.8964,381390.46,ISLAND
-70.8166,42.2368,22,12939,5922,18392,3026,2.4989,120971.56,NEAR OCEAN
-70.8212,42.3792,7,21725,9657,32929,1300,0.5099,216004.91,RIVER
-71.043,42.2563,44,24706,8972,2268,967,5.0754,457223.01,ISLAND
-71.0127,42.3261,44,14543,6411,22616,2519,9.9043,223838.95,NEAR BAY
-70.9592,42.3949,21,37818,15431,28733,9794,10.7539,286413.34,ISLAND
-70.8283,42.3011,41,14726,5412,15698,3713,14.6494,57744.08,INLAND
-71.1127,42.3388,10,38332,11950,10146,4169,10.8093,207366.4,ISLAND
-71.0438,42.3825,17,24608,10054,33071,4482,5.1955,310848.28,NEAR BAY
-71.179,42.2432,18,16561,5086,23557,3460,4.7277,221548.66,RIVER
-70.9126,42.2571,2,3039,1039,19920,4203,3.8478,348213.34,ISLAND
-71.1679,42.382,48,36328,17984,27797,343,10.444,57577.24,RIVER
-71.0712,42.249,33,35877,12305,5438,254,6.2441,244444.59,INLAND
-71.0227,42.3959,38,3677,1664,8610,1509,1.004,141924.29,ISLAND
-70.8435,42.3616,45,25791,8931,27605,270,9.99,443981.67,INLAND
-71.0874,42.3635,46,4690,2112,34776,2004,11.1153,385205.16,INLAND
-71.0737,42.3137,44,39124,12360,14974,3885,9.0194,66667.95,INLAND
-71.1627,42.3838,14,8891,4375,34031,1246,2.6177,110017.74,NEAR OCEAN
-70.8646,42.3889,22,35160,16887,13930,5586,9.3021,241665.99,RIVER
-71.0882,42.2354,44,7025,2270,2442,644,6.7391,338237.73,ISLAND
